Player,Team,Rookie,Rating,GP,MPG,PPG,RPG,APG,FG %,FT %
Anthony Tolliver, DET,0,38.24,40,13.6,5,2.4,0.6,42.8,75.8
Omri Casspi, SAC,0,38.19,30,16.9,7.3,3.3,1.3,52.4,76.8
James Ennis, MIA ,1,38.1,38,14.1,3.7,2.3,0.6,39.5,85.4
Nick Collison, OKC,0,38.09,38,16.1,3.9,3.4,1.3,42.8,58.3
Larry Sanders, MIL,0,37.88,27,21.7,7.3,6.1,0.9,50,50
Nik Stauskas, SAC ,1,37.81,41,14.2,3.7,1.1,0.7,34.9,82.8
Marcus Thornton, BOS,0,37.79,31,15.7,7.8,1.5,0.9,40.8,81.1
Cole Aldrich, NY,0,37.23,31,17,5.6,5.5,1.2,49.4,75
David Lee, GS,0,37.2,19,19.8,10,6.5,2.1,50.3,72.7
Travis Wear, NY ,1,37.12,37,12.6,4.1,1.8,0.8,42.8,81.2
Pero Antic, ATL,0,36.71,34,17.4,6.3,2.9,1,40.5,67.7
Robert Sacre, LAL,0,36.71,40,14.8,3.8,3,0.6,40.9,62.5
Tarik Black, LAL ,1,36.7,33,16,4.9,5.1,0.4,57.9,55.6
Tyler Hansbrough, TOR,0,36.7,39,13.9,3,3.4,0.3,46.9,63.1
Terrence Jones, HOU,0,36.48,4,29.2,14,7.5,1.5,52.1,75
Ersan Ilyasova, MIL,0,36.28,26,18.2,9.3,3.8,0.8,47.8,60.5
Alonzo Gee, DEN,0,36.17,34,12.9,5,1.7,0.5,46.7,76.3
Alexis Ajinca, NO,0,35.91,33,11.4,5,4.1,0.4,59.5,74.4
John Henson, MIL,0,35.84,30,15.7,6.1,3.8,0.9,58.1,65.3
Tony Snell, CHI,0,35.74,38,12.9,3.4,1.7,0.5,39.8,83.3
Nikola Pekovic, MIN,0,35.49,13,26.9,12.1,7.4,0.7,41,85.5
Kent Bazemore, ATL,0,35.46,38,11.7,3.4,2,0.6,42.1,56.7
Luke Babbitt, NO,0,35.41,37,13.4,3.4,1.6,0.2,42.3,60
Leandro Barbosa, GS,0,35.4,32,12.7,6,1.2,1,47,80
Tiago Splitter, SA,0,35.14,24,19.7,7.3,4.8,1.8,52.3,70.4
JaKarr Sampson, PHI ,1,34.67,39,11.7,3.7,1.8,0.8,42.9,55.9
Glen Davis, LAC,0,34.59,38,10.6,3.7,2,0.4,48.7,72.1
Danilo Gallinari, DEN,0,34.38,27,18.6,7.6,2.8,1.1,34.9,89.1
Ricky Rubio, MIN,0,34.37,5,28.8,9.4,5.6,10,42.6,60
Hassan Whiteside, MIA,0,34.27,19,17.1,8.2,6.7,0.2,65.3,54.8
Damjan Rudez, IND ,1,34.12,36,16.1,4.6,0.9,0.8,41.2,65
Ian Mahinmi, IND,0,34.11,29,18.8,4.9,6,0.6,60.2,39.5
Langston Galloway, NY ,1,33.99,8,28,12.1,4.1,3,42.9,76.5
Allen Crabbe, POR,0,33.93,32,14.3,3.4,1.2,0.9,42.9,88.9
P.J. Hairston, CHA ,1,33.83,32,15,5.5,2.2,0.5,32.5,83.3
Matthew Dellavedova, CLE,0,33.69,31,20.8,4.3,1.9,3.2,34.3,61.1
Jerami Grant, PHI ,1,32.83,30,18,5.3,2.7,0.6,37,58
Sergey Karasev, BKN,0,32.75,28,18.4,5.1,2.1,1.4,40.7,76.3
Lance Thomas, NY,0,32.28,27,21.5,6,3.7,1.2,39.1,69.8
Danny Granger, MIA,0,32.19,24,21.2,6.5,2.8,0.6,42.1,70.4
Jerome Jordan, BKN,0,32.17,32,9.3,3.3,2.6,0.3,60.3,83.3
George Hill, IND,0,31.94,8,23.4,14.2,3.5,2.5,46.2,78.9
Kendall Marshall, MIL,0,31.86,28,14.9,4.2,1,3.1,45.5,88.9
Reggie Evans, SAC,0,31.59,27,17.9,4.1,6.8,0.6,42.7,60
Meyers Leonard, POR,0,31.39,23,15.4,5.7,4.4,0.6,51.6,89.5
Shelvin Mack, ATL,0,31.1,31,13.7,4.5,1.5,2.8,37.3,78.9
Joel Freeland, POR,0,30.92,31,13.5,3.5,4.5,0.4,47.4,84.2
Perry Jones, OKC,0,30.56,26,19.1,6.1,2.2,0.4,43.4,67.6
Ramon Sessions, SAC,0,30.51,27,17.1,5.7,1.9,2.6,34.2,73.8
Garrett Temple, WAS,0,30.36,34,11.2,3,1.5,0.9,35.2,78.6
Luke Ridnour, ORL,0,29.83,28,14.5,4.2,1.7,2.2,45.6,84.6
